target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,2,missing_quotation,2,mismatched_quotation,False
500,0.0,1,7,mismatched_quotation,7,mismatched_quotation,True
500,0.0,2,1,missing_colon,1,missing_colon,True
500,0.0,3,7,missing_quotation,7,mismatched_quotation,False
500,0.0,4,1,keywords_as_identifier,47,missing_colon,False
500,0.0,5,3,missing_parenthesis,3,missing_parenthesis,True
500,0.0,6,1,missing_comma,1,missing_colon,False
500,0.0,7,7,mismatched_bracket,7,mismatched_bracket,True
500,0.0,8,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,9,2,missing_quotation,2,mismatched_quotation,False
500,0.0,10,4,missing_quotation,4,mismatched_quotation,False
500,0.0,11,5,missing_comma,5,missing_comma,True
500,0.0,12,5,mismatched_quotation,5,mismatched_quotation,True
500,0.0,13,2,missing_colon,2,missing_colon,True
500,0.0,14,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,15,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,16,2,missing_quotation,2,missing_quotation,True
500,0.0,17,1,missing_parenthesis,1,missing_colon,False
500,0.0,18,1,missing_colon,1,missing_colon,True
500,0.0,19,1,missing_colon,1,missing_colon,True
500,0.0,20,2,missing_quotation,2,mismatched_quotation,False
500,0.0,21,1,missing_colon,1,missing_colon,True
500,0.0,22,2,missing_colon,2,missing_colon,True
500,0.0,23,3,mismatched_bracket,3,mismatched_bracket,True
500,0.0,24,1,missing_comma,1,missing_colon,False
500,0.25,0,16,missing_colon,16,missing_colon,True
500,0.25,1,15,missing_comma,15,missing_comma,True
500,0.25,2,18,keywords_as_identifier,18,keywords_as_identifier,True
500,0.25,3,13,keywords_as_identifier,13,keywords_as_identifier,True
500,0.25,4,18,keywords_as_identifier,6,mismatched_quotation,False
500,0.25,5,15,missing_parenthesis,15,missing_colon,False
500,0.25,6,17,missing_colon,17,missing_colon,True
500,0.25,7,9,keywords_as_identifier,10,keywords_as_identifier,False
500,0.25,8,15,missing_parenthesis,15,missing_parenthesis,True
500,0.25,9,20,missing_comma,20,missing_comma,True
500,0.25,10,18,mismatched_quotation,18,mismatched_quotation,True
500,0.25,11,21,missing_quotation,21,missing_quotation,True
500,0.25,12,13,mismatched_bracket,13,mismatched_bracket,True
500,0.25,13,13,keywords_as_identifier,13,keywords_as_identifier,True
500,0.25,14,11,missing_comma,11,missing_comma,True
500,0.25,15,16,missing_comma,16,missing_comma,True
500,0.25,16,16,missing_parenthesis,16,missing_parenthesis,True
500,0.25,17,13,mismatched_bracket,13,mismatched_bracket,True
500,0.25,18,21,mismatched_bracket,21,mismatched_bracket,True
500,0.25,19,13,mismatched_bracket,13,mismatched_bracket,True
500,0.25,20,24,missing_quotation,24,mismatched_quotation,False
500,0.25,21,17,missing_parenthesis,17,missing_colon,False
500,0.25,22,14,missing_comma,14,missing_colon,False
500,0.25,23,16,mismatched_quotation,16,mismatched_quotation,True
500,0.25,24,22,mismatched_quotation,62,missing_colon,False
500,0.5,0,38,missing_parenthesis,38,missing_parenthesis,True
500,0.5,1,32,missing_parenthesis,32,missing_parenthesis,True
500,0.5,2,32,missing_quotation,32,mismatched_quotation,False
500,0.5,3,38,missing_colon,38,missing_colon,True
500,0.5,4,31,keywords_as_identifier,31,keywords_as_identifier,True
500,0.5,5,35,mismatched_quotation,35,mismatched_quotation,True
500,0.5,6,33,keywords_as_identifier,33,keywords_as_identifier,True
500,0.5,7,28,missing_parenthesis,28,missing_parenthesis,True
500,0.5,8,30,mismatched_quotation,30,mismatched_quotation,True
500,0.5,9,28,missing_parenthesis,28,missing_colon,False
500,0.5,10,37,mismatched_quotation,37,mismatched_quotation,True
500,0.5,11,36,missing_colon,36,missing_colon,True
500,0.5,12,29,mismatched_bracket,29,mismatched_bracket,True
500,0.5,13,32,missing_comma,32,missing_colon,False
500,0.5,14,33,keywords_as_identifier,33,keywords_as_identifier,True
500,0.5,15,28,missing_parenthesis,28,missing_parenthesis,True
500,0.5,16,34,missing_colon,34,missing_colon,True
