target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,3,missing_colon,3,missing_colon,True
500,0.0,1,1,missing_comma,1,missing_comma,True
500,0.0,2,1,missing_colon,1,missing_colon,True
500,0.0,3,2,missing_colon,2,missing_colon,True
500,0.0,4,1,keywords_as_identifier,2,keywords_as_identifier,False
500,0.0,5,1,missing_colon,1,missing_colon,True
500,0.0,6,3,mismatched_quotation,3,mismatched_quotation,True
500,0.0,7,1,missing_colon,1,missing_colon,True
500,0.0,8,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,9,1,keywords_as_identifier,7,keywords_as_identifier,False
500,0.0,10,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,11,2,missing_quotation,2,mismatched_quotation,False
500,0.0,12,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,13,1,keywords_as_identifier,30,keywords_as_identifier,False
500,0.0,14,2,missing_comma,2,missing_comma,True
500,0.0,15,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,16,1,missing_colon,1,missing_colon,True
500,0.0,17,1,mismatched_bracket,1,mismatched_bracket,True
500,0.0,18,3,missing_parenthesis,3,missing_parenthesis,True
500,0.0,19,4,mismatched_quotation,4,missing_quotation,False
500,0.0,20,3,missing_parenthesis,3,missing_parenthesis,True
500,0.0,21,4,missing_quotation,4,missing_parenthesis,False
500,0.0,22,1,missing_comma,1,missing_comma,True
500,0.0,23,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,24,1,missing_colon,1,missing_colon,True
500,0.25,0,20,missing_colon,20,missing_colon,True
500,0.25,1,14,missing_colon,14,missing_colon,True
500,0.25,2,16,keywords_as_identifier,16,keywords_as_identifier,True
500,0.25,3,13,keywords_as_identifier,13,keywords_as_identifier,True
500,0.25,4,18,missing_parenthesis,18,missing_parenthesis,True
500,0.25,5,15,missing_colon,15,missing_colon,True
500,0.25,6,15,keywords_as_identifier,15,keywords_as_identifier,True
500,0.25,7,15,missing_parenthesis,15,mismatched_bracket,False
